Results of player Roxanne agains different agents

Tournament_simple2 start

opponent,win_percentage,std,err,disc_diff,std,err
AlphaBeta1,0.35100000000000003,0.04701063709417263,0.014866068747318504,15.881254532112038,1.7093729904739823,0.540551202067109
AlphaBeta2,0.06200000000000001,0.02616188916046478,0.008273115763993904,13.328095238095239,5.188513026149647,1.6407518832085664
AlphaBeta3,0.042,0.02440400695696417,0.00771722460186015,13.433333333333332,5.418486873657627,1.7134759992483115
AlphaBeta4,0.011,0.011972189997378646,0.0037859388972001817,7.0,3.03315017762062,1.2382783747337807
StaticBoard1,0.5839999999999999,0.045995168828427566,0.01454494948618095,18.640722465109558,1.4607444182750884,0.46192794411269666
StaticBoard2,0.362,0.034253953543107,0.010832051206181277,16.47110069047168,1.984739943782172,0.6276298785466207
StaticBoard3,0.31,0.048989794855663564,0.015491933384829668,17.329305826841686,2.3227646400995723,0.7345226731215923
StaticBoard4,0.19,0.026666666666666665,0.008432740427115677,15.61624089017278,3.347316076367484,1.0585142849819367
DynamicBoard1,0.642,0.047795862210493124,0.015114378731672845,21.30363879299547,1.3468634447683079,0.42591561826882474
DynamicBoard2,0.29300000000000004,0.05100108931298538,0.016127960537870592,16.41633588761175,1.3364087409006833,0.42260955062039823
DynamicBoard3,0.269,0.032472210341220144,0.010268614533832907,16.578893654927413,2.1095132170245434,0.6670866520026644
DynamicBoard4,0.16399999999999998,0.03062315754094894,0.009683892697555967,16.692979157065842,3.778184744929864,1.1947669214880674
DynamicBoard5,0.11600000000000002,0.032041639575194444,0.010132456102380442,16.73847402597403,2.7996265049739333,0.8853196353494347

End of Tournament_simple2

