Results for game DynamicRoxanne against MCTSRemMaxIter3
Each cycle contains 10 games, where first half of games DynamicRoxanne is black and second half MCTSRemMaxIter3 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
DynamicRoxanne,MCTSRemMaxIter3,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter3
0,1,25,39
1,0,33,31
1,0,43,21
0,1,17,47
0,1,20,44
0,1,25,39
0,1,22,42
0,1,22,42
0,1,24,40
0,1,28,36

Cycle: 1
DynamicRoxanne,MCTSRemMaxIter3,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter3
0,1,15,49
0,1,31,33
0,1,28,36
0,1,25,39
0,1,19,45
0,1,29,35
0,1,26,38
0,1,25,39
1,0,40,24
0,1,26,38

Cycle: 2
DynamicRoxanne,MCTSRemMaxIter3,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter3
0,1,23,41
0,1,24,40
0,1,28,36
0,1,22,42
0,1,30,34
0,1,30,34
0,1,25,39
0,1,25,39
1,0,44,20
1,0,36,28

Cycle: 3
DynamicRoxanne,MCTSRemMaxIter3,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter3
0,1,24,40
1,0,47,17
0,1,31,33
0,1,28,36
0,1,19,45
0,1,29,35
1,0,41,23
0,1,26,38
0,1,31,33
0,1,23,41

Cycle: 4
DynamicRoxanne,MCTSRemMaxIter3,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter3
0,1,18,46
0,1,20,44
0,1,28,36
0,1,18,46
0,1,21,43
0,1,29,35
0,0,32,32
0,1,30,34
0,1,26,38
0,1,23,41

Cycle: 5
DynamicRoxanne,MCTSRemMaxIter3,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter3
0,1,22,42
0,0,32,32
0,1,28,36
0,1,28,36
0,1,25,39
0,1,31,33
0,1,26,38
0,1,20,44
1,0,37,27
1,0,43,21

Cycle: 6
DynamicRoxanne,MCTSRemMaxIter3,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter3
0,1,24,40
0,1,23,41
0,1,30,34
0,1,28,36
0,1,29,35
0,1,30,34
0,1,26,38
0,1,24,40
1,0,37,27
0,1,24,40

Cycle: 7
DynamicRoxanne,MCTSRemMaxIter3,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter3
1,0,43,21
0,1,26,38
0,1,30,34
0,1,25,39
0,1,19,45
0,1,31,33
0,1,28,36
0,1,28,36
0,1,31,33
0,0,32,32

Cycle: 8
DynamicRoxanne,MCTSRemMaxIter3,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter3
0,1,29,35
0,1,27,37
0,1,26,38
1,0,42,22
0,1,21,43
0,1,22,42
0,1,31,33
0,1,30,34
0,1,28,36
0,1,27,37

Cycle: 9
DynamicRoxanne,MCTSRemMaxIter3,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter3
0,1,24,40
0,1,27,37
0,1,29,35
0,1,22,42
0,1,23,41
0,1,28,36
0,1,27,37
1,0,41,23
0,1,22,42
0,1,22,42
