Results for game DynamicRoxanne against MCTSRemMaxIter0
Each cycle contains 10 games, where first half of games DynamicRoxanne is black and second half MCTSRemMaxIter0 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
DynamicRoxanne,MCTSRemMaxIter0,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter0
1,0,37,27
1,0,35,29
1,0,35,29
1,0,45,19
0,1,28,36
0,1,26,38
1,0,37,27
1,0,40,24
0,1,0,64
1,0,39,25

Cycle: 1
DynamicRoxanne,MCTSRemMaxIter0,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter0
0,1,27,37
0,1,27,37
0,0,32,32
0,1,29,35
0,1,31,33
1,0,43,21
1,0,55,9
0,1,31,33
0,1,28,36
0,1,26,38

Cycle: 2
DynamicRoxanne,MCTSRemMaxIter0,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter0
0,1,25,39
1,0,35,29
0,1,31,33
0,1,20,44
0,0,32,32
1,0,33,31
1,0,46,18
1,0,44,20
1,0,38,26
1,0,51,13

Cycle: 3
DynamicRoxanne,MCTSRemMaxIter0,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter0
0,0,32,32
0,1,29,35
1,0,52,12
0,1,30,34
1,0,43,21
0,1,27,37
0,1,31,33
0,1,30,34
1,0,44,20
1,0,49,15

Cycle: 4
DynamicRoxanne,MCTSRemMaxIter0,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter0
1,0,47,17
0,1,28,36
1,0,53,11
0,1,31,33
1,0,41,23
1,0,38,26
0,1,23,41
1,0,52,12
1,0,42,22
0,1,31,33

Cycle: 5
DynamicRoxanne,MCTSRemMaxIter0,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter0
0,1,28,36
1,0,42,22
0,1,27,37
0,1,23,41
1,0,57,7
1,0,39,25
1,0,38,26
0,1,29,35
1,0,42,22
0,1,20,44

Cycle: 6
DynamicRoxanne,MCTSRemMaxIter0,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter0
0,1,25,39
1,0,45,19
0,1,31,33
1,0,52,12
0,1,26,38
0,1,28,36
1,0,45,19
0,1,25,39
1,0,43,21
0,1,25,39

Cycle: 7
DynamicRoxanne,MCTSRemMaxIter0,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter0
1,0,44,20
1,0,41,23
1,0,48,16
1,0,45,19
1,0,54,10
0,1,28,36
0,1,27,37
0,1,30,34
1,0,57,7
0,1,31,33

Cycle: 8
DynamicRoxanne,MCTSRemMaxIter0,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter0
0,1,26,38
0,1,31,33
0,1,24,40
1,0,51,13
0,1,27,37
1,0,47,17
0,1,30,34
0,1,30,34
0,1,30,34
0,1,30,34

Cycle: 9
DynamicRoxanne,MCTSRemMaxIter0,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter0
1,0,56,8
0,1,25,39
0,1,28,36
1,0,54,10
1,0,50,14
0,1,30,34
1,0,35,29
0,1,28,36
0,1,27,37
1,0,43,21
