Results of player DynamicRoxanne agains different agents

opponent,win_percentage,std,err,disc_diff,std,err
AlphaBeta1,0.45,0.05011098792790971,0.015846485765339622,19.139795982329005,1.8251758209133946,0.5771712724353909
AlphaBeta2,0.074,0.023190036174568118,0.007333333333333334,14.19268398268398,3.9227997834834163,1.2404982120622963
AlphaBeta3,0.07,0.028674417556808756,0.009067647005823628,15.877424242424244,6.105775550823413,1.9308157622371158
AlphaBeta4,0.017,0.006749485577105528,0.002134374745810949,14.6,8.553102101317133,2.7047283700134392
AlphaBeta5,0.0,0.0,0.0,nan,nan,nan
AlphaBeta6,0.0,0.0,0.0,nan,nan,nan
DynamicBoard1,0.689,0.04557045826702499,0.014410644214144855,23.85565730962415,2.0614113907954046,0.6518755189528936
DynamicBoard2,0.4109999999999999,0.05546770832355225,0.017540429489230493,18.926257700186525,1.9865372084619997,0.6281982235412636
DynamicBoard3,0.34500000000000003,0.03472111109333277,0.01097977939466707,21.787097990560987,1.3519160728725672,0.42751339956674855
DynamicBoard4,0.20500000000000002,0.04428443418528808,0.014003967691733338,17.936123002098235,2.7566621418628974,0.8717331107844956
DynamicBoard5,0.147,0.0478539444560216,0.015132745950421555,15.482603399651456,2.5443576481052403,0.804596535008176
DynamicBoard6,0.11000000000000001,0.07378647873726218,0.02333333333333333,16.75,12.46423454758225,4.406772385447524
StaticBoard1,0.693,0.04877385456255112,0.015423647068345696,22.140491551993417,0.9496417167477101,0.3003030786035231
StaticBoard2,0.43099999999999994,0.04067486256208427,0.012862520921049824,19.796098832242723,1.9913116998145448,0.6297080502755457
StaticBoard3,0.42700000000000005,0.05498484639728781,0.017387735140993302,20.148268529330103,1.363461793491176,0.43116447700502575
StaticBoard4,0.207,0.06074537019394976,0.019209372712298545,19.708873319662793,2.9606946361320485,0.9362538506420726
StaticBoard5,0.173,0.0294580681270476,0.009315459074988078,17.836225222146275,1.946705533369747,0.615602341910132
StaticBoard6,0.07,0.0674948557710553,0.021343747458109495,21.5,7.582875444051551,3.095695936834452
MCTSMaxIter0,0.44000000000000006,0.12649110640673517,0.039999999999999994,23.686666666666667,6.800711654845078,2.150573853936332
MCTSMaxIter1,0.37,0.1567021236472421,0.04955356249106167,25.053333333333335,10.908046639132117,3.449427220300226
MCTSMaxIter2,0.29,0.16633299933166198,0.05259911279353166,22.237037037037037,6.582646471435423,2.194215490478474
MCTSMaxIter3,0.2,0.10540925533894598,0.03333333333333333,18.88888888888889,14.409680388158819,4.80322679605294
MCTSRemMaxIter0,0.47000000000000003,0.170293863659264,0.05385164807134503,27.113809523809522,7.094126701777447,2.2433598387434808
MCTSRemMaxIter1,0.33999999999999997,0.10749676997731401,0.0339934634239519,20.883333333333333,8.223201893588412,2.6004047643148946
MCTSRemMaxIter2,0.26999999999999996,0.11595018087284056,0.03666666666666666,23.43,9.852472898832163,3.115625494539134
MCTSRemMaxIter3,0.13000000000000003,0.0674948557710553,0.021343747458109495,17.11111111111111,4.48454134902457,1.4948471163415233

