Results for game DynamicRoxanne against StaticBoard6
Each cycle contains 10 games, where first half of games DynamicRoxanne is black and second half StaticBoard6 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
DynamicRoxanne,StaticBoard6,Discs_DynamicRoxanne,Discs_StaticBoard6
0,1,11,53
0,1,13,51
0,1,16,48
0,1,25,39
0,1,0,64
0,1,17,47
1,0,51,13
1,0,36,28
0,1,22,42
0,1,10,54

Cycle: 1
DynamicRoxanne,StaticBoard6,Discs_DynamicRoxanne,Discs_StaticBoard6
0,1,20,44
0,1,22,42
0,1,22,42
1,0,46,18
0,0,31,31
0,1,24,40
0,1,17,47
0,1,26,38
0,1,25,39
0,1,16,48

Cycle: 2
DynamicRoxanne,StaticBoard6,Discs_DynamicRoxanne,Discs_StaticBoard6
0,1,30,34
0,1,21,43
0,1,17,47
0,1,0,64
0,1,0,64
0,1,12,52
0,1,11,53
0,1,21,43
0,1,12,52
0,1,13,51

Cycle: 3
DynamicRoxanne,StaticBoard6,Discs_DynamicRoxanne,Discs_StaticBoard6
0,1,18,46
0,1,18,46
0,1,17,47
0,1,14,50
0,1,11,53
0,1,31,33
0,1,21,43
0,1,10,54
0,1,24,40
0,1,0,64

Cycle: 4
DynamicRoxanne,StaticBoard6,Discs_DynamicRoxanne,Discs_StaticBoard6
0,0,32,32
0,1,24,40
0,0,32,32
0,1,25,39
0,1,0,64
0,1,23,41
0,1,21,43
0,1,6,58
0,1,0,64
0,1,24,40

Cycle: 5
DynamicRoxanne,StaticBoard6,Discs_DynamicRoxanne,Discs_StaticBoard6
0,1,31,33
0,1,21,43
0,1,3,61
0,1,14,50
0,1,18,46
0,1,14,50
1,0,36,28
0,1,10,54
0,1,17,47
0,1,25,39

Cycle: 6
DynamicRoxanne,StaticBoard6,Discs_DynamicRoxanne,Discs_StaticBoard6
1,0,46,18
0,1,13,51
0,1,18,46
0,1,19,45
0,1,20,44
0,1,13,51
0,1,17,47
0,1,9,55
0,1,12,52
0,1,27,37

Cycle: 7
DynamicRoxanne,StaticBoard6,Discs_DynamicRoxanne,Discs_StaticBoard6
0,1,26,38
0,1,6,58
0,1,23,41
0,1,16,48
0,1,0,64
0,1,7,57
0,1,14,50
1,0,44,20
0,1,16,48
0,1,11,53

Cycle: 8
DynamicRoxanne,StaticBoard6,Discs_DynamicRoxanne,Discs_StaticBoard6
0,1,0,64
0,1,10,54
0,1,0,64
0,1,21,43
0,1,25,39
0,1,27,37
0,1,17,47
0,1,22,42
0,1,30,34
0,1,11,53

Cycle: 9
DynamicRoxanne,StaticBoard6,Discs_DynamicRoxanne,Discs_StaticBoard6
0,1,13,51
0,1,31,33
0,1,14,50
1,0,41,23
0,1,19,45
0,1,21,43
0,1,24,40
0,1,15,49
0,1,26,38
0,1,26,38
