Results for game DynamicRoxanne against MCTSRemMaxIter2
Each cycle contains 10 games, where first half of games DynamicRoxanne is black and second half MCTSRemMaxIter2 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
DynamicRoxanne,MCTSRemMaxIter2,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter2
0,1,27,37
0,1,22,42
0,1,19,45
0,1,27,37
0,1,30,34
0,0,32,32
0,1,31,33
0,1,26,38
1,0,42,22
1,0,40,24

Cycle: 1
DynamicRoxanne,MCTSRemMaxIter2,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter2
0,1,31,33
0,1,24,40
1,0,44,20
1,0,36,28
0,1,26,38
1,0,42,22
0,1,25,39
0,1,27,37
0,1,23,41
0,1,27,37

Cycle: 2
DynamicRoxanne,MCTSRemMaxIter2,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter2
0,1,30,34
1,0,36,28
0,1,28,36
1,0,41,23
0,1,31,33
0,1,31,33
0,1,25,39
0,1,31,33
0,1,26,38
0,1,19,45

Cycle: 3
DynamicRoxanne,MCTSRemMaxIter2,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter2
0,1,24,40
0,1,22,42
0,1,30,34
0,1,20,44
1,0,35,29
0,1,30,34
0,1,27,37
0,1,28,36
1,0,46,18
0,1,31,33

Cycle: 4
DynamicRoxanne,MCTSRemMaxIter2,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter2
0,1,28,36
0,1,29,35
0,1,17,47
0,1,23,41
1,0,39,25
0,1,30,34
0,1,26,38
0,1,26,38
1,0,54,10
1,0,38,26

Cycle: 5
DynamicRoxanne,MCTSRemMaxIter2,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter2
0,1,24,40
0,1,28,36
0,1,27,37
0,1,30,34
1,0,42,22
0,1,29,35
0,1,30,34
0,1,23,41
1,0,34,30
0,1,26,38

Cycle: 6
DynamicRoxanne,MCTSRemMaxIter2,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter2
0,1,26,38
0,1,22,42
0,1,25,39
0,1,29,35
1,0,48,16
0,1,23,41
0,1,31,33
0,1,29,35
0,1,27,37
0,1,30,34

Cycle: 7
DynamicRoxanne,MCTSRemMaxIter2,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter2
0,1,31,33
0,1,17,47
0,1,22,42
1,0,54,10
1,0,46,18
0,1,16,48
0,1,30,34
1,0,61,3
1,0,42,22
0,1,14,50

Cycle: 8
DynamicRoxanne,MCTSRemMaxIter2,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter2
1,0,49,15
0,1,31,33
0,1,30,34
0,1,20,44
1,0,46,18
1,0,38,26
1,0,47,17
1,0,42,22
0,1,31,33
0,1,28,36

Cycle: 9
DynamicRoxanne,MCTSRemMaxIter2,Discs_DynamicRoxanne,Discs_MCTSRemMaxIter2
0,1,16,48
0,1,25,39
0,1,16,48
0,1,18,46
0,1,20,44
1,0,50,14
0,1,29,35
1,0,52,12
1,0,53,11
0,1,26,38
