Results for game DynamicBoard27 against DynamicRoxanne
Each cycle contains 10 games, where first half of games DynamicBoard27 is black and second half DynamicRoxanne is black
Number of cycles: 5
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
DynamicBoard27,DynamicRoxanne,Discs_DynamicBoard27,Discs_DynamicRoxanne
1,0,50,14
1,0,57,7
1,0,49,15
1,0,64,0
1,0,47,17
1,0,44,20
1,0,44,20
1,0,53,11
0,1,15,49
1,0,52,12

Cycle: 1
DynamicBoard27,DynamicRoxanne,Discs_DynamicBoard27,Discs_DynamicRoxanne
1,0,51,13
1,0,54,10
1,0,52,12
1,0,51,13
1,0,40,24
1,0,47,17
1,0,55,9
1,0,44,20
1,0,44,20
1,0,53,11

Cycle: 2
DynamicBoard27,DynamicRoxanne,Discs_DynamicBoard27,Discs_DynamicRoxanne
1,0,57,7
1,0,50,14
1,0,44,20
1,0,57,7
1,0,51,13
1,0,47,17
1,0,56,8
1,0,53,11
1,0,35,29
1,0,46,18

Cycle: 3
DynamicBoard27,DynamicRoxanne,Discs_DynamicBoard27,Discs_DynamicRoxanne
1,0,48,16
1,0,48,16
1,0,49,15
1,0,51,13
1,0,38,26
1,0,52,12
1,0,51,13
1,0,43,21
1,0,51,13
1,0,58,6

Cycle: 4
DynamicBoard27,DynamicRoxanne,Discs_DynamicBoard27,Discs_DynamicRoxanne
1,0,53,11
1,0,64,0
0,1,28,36
1,0,64,0
1,0,50,14
0,0,32,32
1,0,46,18
1,0,51,13
1,0,47,17
1,0,46,18
