500 games Gambler against Greedy for Gambler: black and Greedy: white.
"In first two columns winner gets 1 looser 0"

Gambler_Winning,Greedy_Winning,Discs_Gambler,Discs_Greedy
0,1,24,40
0,1,13,51
1,0,43,21
0,1,25,39
1,0,40,24
0,1,31,33
1,0,38,26
1,0,34,30
1,0,37,27
0,1,26,38
0,1,31,33
0,1,28,36
0,1,31,33
0,1,7,57
0,1,28,36
0,1,28,36
0,1,14,50
0,1,10,54
0,1,28,36
1,0,39,25
1,0,36,28
0,1,29,35
0,1,30,34
1,0,35,29
0,1,24,40
0,1,26,38
1,0,36,28
0,1,21,43
0,1,23,41
1,0,36,28
1,0,37,27
1,0,37,27
1,0,39,25
1,0,35,29
0,1,15,49
0,1,31,33
1,0,55,9
0,1,29,35
1,0,37,27
0,1,26,38
1,0,37,27
1,0,38,26
0,1,17,47
0,1,27,37
0,1,21,43
1,0,45,19
0,1,23,41
0,1,11,53
0,1,24,40
0,1,22,42
0,1,26,38
1,0,39,25
1,0,45,19
0,1,0,64
1,0,45,19
0,1,30,34
1,0,34,30
0,1,28,36
1,0,37,27
0,1,31,33
0,1,28,36
1,0,44,20
0,1,27,37
0,1,31,33
0,1,23,41
1,0,36,28

Results for Gambler black and Greedy white
Information,Gambler,Greedy,Draw
total wins,187,297,16
percentage wins, 0.374,0.594,0.032
disc difference,15.48663101604278,21.46127946127946

Results for Greedy black and Gambler white
Information,Gambler,Greedy,Draw
total wins,172,306,22
percentage wins, 0.344,0.612,0.044
disc difference,14.662790697674419,22.529411764705884

Total Results:Information,Gambler,Greedy,Draw
total wins,359,603,38
percentage wins, 0.359,0.603,0.038
disc difference,15.09192200557103,22.003316749585405
