500 games AlphaBeta4 against Roxanne for AlphaBeta4: black and Roxanne: white.
"In first two columns winner gets 1 looser 0"

AlphaBeta4_Winning,Roxanne_Winning,Discs_AlphaBeta4,Discs_Roxanne
1,0, 49, 15 
1,0, 52, 12 
1,0, 59, 5 
1,0, 58, 6 
1,0, 37, 27 
1,0, 51, 12 
1,0, 52, 12 
1,0, 58, 6 
1,0, 56, 8 
1,0, 48, 16 
1,0, 56, 8 
1,0, 46, 18 
1,0, 48, 16 
1,0, 50, 14 
1,0, 39, 25 
1,0, 48, 16 
1,0, 56, 8 
1,0, 51, 13 
1,0, 38, 26 
1,0, 42, 22 
1,0, 58, 4 
1,0, 37, 27 
1,0, 52, 12 
1,0, 53, 11 
1,0, 47, 17 
1,0, 54, 10 
1,0, 49, 15 
1,0, 51, 13 
1,0, 46, 18 
1,0, 45, 19 
1,0, 59, 5 
1,0, 54, 10 
1,0, 51, 13 
0, 1, 21, 43 
1,0, 60, 4 
1,0, 60, 4 
1,0, 57, 7 
1,0, 57, 7 
1,0, 59, 5 
1,0, 44, 20 
1,0, 50, 14 
1,0, 44, 20 
1,0, 51, 13 
1,0, 52, 12 
1,0, 52, 12 
1,0, 49, 15 
1,0, 46, 18 
1,0, 60, 2 
1,0, 59, 3 
1,0, 51, 13 
1,0, 52, 12 
1,0, 29, 0 
1,0, 62, 2 
1,0, 54, 10 
1,0, 50, 4 
1,0, 34, 30 
1,0, 54, 10 
1,0, 52, 12 
1,0, 42, 22 
1,0, 47, 17 
1,0, 54, 10 
1,0, 56, 8 
1,0, 50, 14 
1,0, 55, 9 
1,0, 56, 8 
1,0, 56, 2 
1,0, 51, 13 
1,0, 54, 10 
1,0, 60, 4 
1,0, 47, 17 
1,0, 49, 15 
1,0, 42, 0 
1,0, 64, 0 
1,0, 53, 11 
1,0, 36, 28 
1,0, 51, 13 
1,0, 58, 2 
1,0, 34, 30 
1,0, 61, 2 
1,0, 49, 15 
1,0, 42, 22 
1,0, 44, 20 
1,0, 60, 0 
1,0, 44, 20 
1,0, 46, 18 
1,0, 54, 10 
1,0, 40, 24 
1,0, 56, 8 
1,0, 51, 12 
1,0, 33, 31 
1,0, 47, 17 
1,0, 57, 7 
1,0, 48, 16 
1,0, 56, 8 
1,0, 55, 9 
1,0, 49, 1 
1,0, 43, 21 
1,0, 47, 17 
1,0, 57, 7 
1,0, 50, 14 
1,0, 53, 11 
1,0, 57, 7 
1,0, 45, 19 
1,0, 51, 13 
1,0, 61, 3 
1,0, 52, 12 
1,0, 52, 12 
1,0, 56, 7 
1,0, 44, 20 
1,0, 57, 7 
1,0, 49, 15 
1,0, 44, 20 
1,0, 41, 23 
1,0, 49, 15 
1,0, 43, 21 
1,0, 53, 11 
1,0, 50, 14 
1,0, 50, 14 
1,0, 56, 8 
1,0, 45, 19 
0, 0, 32, 32 
1,0, 41, 23 
1,0, 45, 19 
1,0, 54, 10 
1,0, 56, 8 
1,0, 49, 15 
1,0, 46, 18 
1,0, 63, 1 
1,0, 60, 1 
1,0, 55, 2 
1,0, 54, 10 
1,0, 53, 11 
1,0, 60, 4 
1,0, 42, 22 
1,0, 55, 5 
1,0, 41, 23 
1,0, 51, 13 
1,0, 57, 7 
1,0, 55, 9 
1,0, 53, 11 
1,0, 53, 11 
1,0, 56, 8 
1,0, 47, 17 
1,0, 39, 25 
1,0, 58, 2 
1,0, 43, 21 
1,0, 51, 13 
1,0, 47, 17 
1,0, 47, 17 
1,0, 39, 25 
1,0, 52, 12 
1,0, 54, 10 
1,0, 42, 22 
1,0, 52, 12 
1,0, 55, 9 
1,0, 39, 24 
1,0, 52, 12 
1,0, 57, 6 
1,0, 48, 16 
1,0, 49, 15 
1,0, 58, 5 
1,0, 58, 6 
1,0, 57, 1 
1,0, 36, 28 
1,0, 57, 7 
1,0, 46, 18 
1,0, 60, 4 
1,0, 43, 21 
1,0, 54, 10 
1,0, 58, 6 
1,0, 49, 15 
1,0, 37, 27 
1,0, 49, 15 
1,0, 58, 6 
1,0, 50, 14 
1,0, 44, 20 
1,0, 53, 11 
1,0, 58, 6 
1,0, 50, 14 
1,0, 57, 7 
1,0, 55, 1 
1,0, 57, 7 
1,0, 49, 15 
1,0, 47, 17 
1,0, 41, 23 
1,0, 54, 10 
1,0, 60, 4 
1,0, 56, 8 
1,0, 43, 21 
1,0, 52, 12 
1,0, 37, 27 
1,0, 45, 19 
1,0, 55, 9 
1,0, 54, 10 
1,0, 48, 16 
1,0, 48, 16 
1,0, 47, 17 
1,0, 62, 0 
1,0, 54, 10 
1,0, 52, 12 
1,0, 49, 15 
1,0, 42, 0 
1,0, 56, 8 
1,0, 47, 17 
1,0, 52, 12 
1,0, 50, 14 
1,0, 56, 8 
1,0, 46, 18 
1,0, 45, 19 
1,0, 49, 15 
1,0, 60, 2 
1,0, 58, 6 
1,0, 58, 6 
1,0, 42, 22 
1,0, 56, 8 
1,0, 52, 12 
1,0, 38, 26 
1,0, 55, 9 
1,0, 49, 15 
1,0, 53, 11 
1,0, 17, 0 
1,0, 58, 5 
1,0, 47, 17 
1,0, 48, 16 
1,0, 56, 8 
1,0, 59, 0 
0, 1, 20, 44 
1,0, 56, 8 
1,0, 50, 14 
1,0, 50, 14 
1,0, 53, 11 
1,0, 40, 24 
1,0, 61, 3 
1,0, 41, 23 
1,0, 49, 15 
1,0, 48, 16 
1,0, 45, 19 
1,0, 41, 23 
1,0, 51, 13 
1,0, 49, 15 
1,0, 56, 8 
1,0, 55, 9 
1,0, 33, 30 
1,0, 60, 3 
1,0, 49, 15 
1,0, 56, 8 
1,0, 38, 26 
1,0, 60, 1 
1,0, 57, 7 
1,0, 52, 12 
1,0, 57, 7 
1,0, 41, 23 
1,0, 54, 9 
1,0, 57, 7 
1,0, 51, 13 
1,0, 59, 4 
1,0, 51, 13 
1,0, 58, 1 
1,0, 44, 20 
1,0, 49, 15 
1,0, 49, 15 
1,0, 54, 10 
1,0, 42, 22 
1,0, 50, 14 
1,0, 54, 10 
1,0, 39, 25 
1,0, 45, 19 
1,0, 49, 15 
1,0, 53, 11 
1,0, 61, 3 
1,0, 43, 21 
0, 1, 30, 34 
1,0, 45, 19 
1,0, 51, 13 
1,0, 58, 6 
1,0, 46, 18 
1,0, 59, 1 
1,0, 54, 10 
1,0, 42, 22 
1,0, 50, 14 
1,0, 62, 1 
1,0, 40, 24 
1,0, 47, 17 
1,0, 40, 24 
1,0, 53, 11 
1,0, 56, 8 
1,0, 49, 15 
1,0, 56, 8 
1,0, 38, 26 
1,0, 43, 21 
1,0, 50, 10 
1,0, 60, 3 
1,0, 55, 9 
1,0, 54, 10 
1,0, 42, 22 
1,0, 53, 11 
1,0, 42, 22 
1,0, 56, 8 
1,0, 33, 31 
1,0, 55, 9 
1,0, 23, 0 
1,0, 23, 0 
1,0, 59, 1 
1,0, 59, 5 
1,0, 53, 11 
1,0, 57, 7 
1,0, 49, 15 
1,0, 58, 6 
1,0, 54, 10 
1,0, 52, 12 
1,0, 61, 2 
1,0, 55, 9 
1,0, 53, 11 
1,0, 39, 25 
1,0, 60, 4 
1,0, 51, 13 
1,0, 41, 23 
1,0, 45, 19 
1,0, 57, 7 
1,0, 59, 5 
1,0, 38, 26 
1,0, 54, 10 
1,0, 58, 6 
1,0, 55, 9 
1,0, 52, 12 
1,0, 44, 20 
1,0, 52, 12 
1,0, 17, 0 
1,0, 53, 11 
1,0, 53, 11 
1,0, 60, 4 
1,0, 61, 0 
1,0, 56, 8 
1,0, 52, 12 
1,0, 47, 17 
1,0, 52, 12 
1,0, 42, 22 
1,0, 53, 11 
1,0, 52, 12 
1,0, 37, 27 
1,0, 58, 6 
1,0, 58, 1 
1,0, 45, 19 
1,0, 57, 7 
1,0, 49, 15 
1,0, 57, 7 
1,0, 54, 10 
1,0, 48, 16 
1,0, 60, 4 
1,0, 57, 7 
1,0, 57, 7 
1,0, 39, 25 
1,0, 54, 10 
1,0, 54, 10 
1,0, 61, 3 
1,0, 55, 9 
1,0, 56, 8 
1,0, 41, 23 
1,0, 51, 13 
1,0, 51, 13 
1,0, 55, 9 
1,0, 55, 9 
1,0, 43, 21 
1,0, 62, 0 
1,0, 50, 14 
1,0, 42, 22 
1,0, 43, 21 
1,0, 50, 14 
1,0, 46, 18 
1,0, 54, 10 
1,0, 47, 17 
1,0, 59, 5 
1,0, 58, 6 
1,0, 60, 2 
1,0, 55, 9 
0, 1, 24, 40 
1,0, 54, 10 
1,0, 36, 28 
1,0, 43, 21 
1,0, 54, 10 
1,0, 49, 15 
1,0, 59, 5 
1,0, 56, 8 
1,0, 50, 14 
1,0, 47, 17 
1,0, 63, 1 
1,0, 55, 9 
1,0, 48, 16 
1,0, 57, 7 
1,0, 44, 20 
1,0, 55, 9 
1,0, 41, 23 
1,0, 43, 21 
1,0, 56, 8 
1,0, 51, 13 
1,0, 61, 1 
1,0, 50, 14 
1,0, 62, 0 
1,0, 55, 7 
1,0, 52, 12 
1,0, 46, 18 
1,0, 37, 26 
1,0, 38, 26 
1,0, 51, 13 
1,0, 54, 10 
1,0, 54, 5 
