50 games AlphaBeta4 against Roxanne for AlphaBeta4: black and Roxanne: white.
"In first two columns winner gets 1 looser 0"

AlphaBeta4_Winning,Roxanne_Winning,Discs_AlphaBeta4,Discs_Roxanne
1,0,59,5
1,0,53,11
1,0,53,11
1,0,61,3
1,0,60,4
1,0,56,8
1,0,58,6
1,0,50,14
1,0,59,5
1,0,48,16
1,0,47,17
1,0,58,6
1,0,57,7
1,0,48,16
0,1,26,38
1,0,51,13
1,0,56,8
1,0,58,6
1,0,43,21
1,0,55,9
1,0,58,6
1,0,46,18
1,0,53,11
1,0,57,7
1,0,51,13
1,0,62,2
1,0,60,4
1,0,51,13
1,0,51,13
1,0,48,16
1,0,63,1
1,0,53,11
1,0,55,9
1,0,58,6
1,0,53,11
1,0,46,18
1,0,50,14
1,0,41,23
1,0,49,15
1,0,60,4
1,0,57,7
1,0,52,12
1,0,49,15
1,0,63,1
1,0,52,12
1,0,52,12
1,0,50,14
1,0,51,13
1,0,44,20
1,0,50,14                   

Results for AlphaBeta4 black and Roxanne white:
Information,AlphaBeta4,Roxanne,Draw
total wins,49,1,0
percentage wins,0.98,0.02,0.0
disc difference winnig,42.734693877551024,12.0

Results for AlphaBeta4 white and Roxanne black:
Information,AlphaBeta4,Roxanne,Draw
total wins,47,2,1
percentage wins,0.94,0.04,0.02
disc difference winnig,42.5531914893617,17.0

Total Results:
Information,AlphaBeta4,Roxanne,Draw
total wins,96,3,1
percentage wins,0.96,0.03,0.01
disc difference winnig,42.645833333333336,15.333333333333334
