Results for game Greedy0 against DynamicBoard1
Each cycle contains 100 games, where first half of games Greedy0 is black and second half DynamicBoard1 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Greedy0,DynamicBoard1,Discs_Greedy0,Discs_DynamicBoard1
0,1,26,38
0,1,24,40
0,1,19,45
0,1,20,44
1,0,45,19
0,1,31,33
0,1,16,48
0,1,23,41
0,1,15,49
0,1,19,45
0,1,31,33
0,1,17,47
0,1,14,50
0,1,17,47
0,1,16,48
1,0,43,21
1,0,39,25
1,0,36,28
0,1,29,35
0,1,23,41
1,0,35,29
0,1,27,37
1,0,33,31
0,1,30,34
0,0,32,32
1,0,64,0
0,1,18,46
0,1,27,37
1,0,64,0
0,1,19,45
0,1,30,34
0,1,20,44
0,1,19,45
1,0,33,31
0,1,31,33
0,1,24,40
0,1,13,51
1,0,34,30
0,1,31,33
1,0,49,15
0,1,23,41
0,1,31,33
1,0,64,0
0,1,30,34
0,1,20,44
0,1,19,45
0,1,25,39
0,1,28,36
0,1,17,47
0,1,18,46
0,1,21,43
0,1,23,41
0,0,32,32
1,0,33,31
0,1,11,53
0,1,29,35
0,1,17,47
0,1,14,50
1,0,46,18
0,1,14,50
0,1,24,40
0,1,16,48
0,1,17,47
0,1,19,45
0,1,16,48
0,1,23,41
0,1,27,37
1,0,38,26
0,1,20,44
0,0,32,32
1,0,45,19
0,1,18,46
0,1,10,54
0,1,20,44
0,1,28,36
1,0,33,31
0,1,29,35
0,1,15,49
0,1,15,49
0,1,29,35
1,0,41,23
0,1,18,46
0,1,14,50
0,1,29,35
0,1,19,45
0,1,31,33
0,1,29,35
0,1,30,34
0,1,23,41
1,0,41,23
0,1,13,51
1,0,48,16
0,1,19,45
0,1,16,48
1,0,46,18
0,1,27,37
0,1,16,48
1,0,35,29
0,1,18,46
1,0,48,16

Cycle: 1
Greedy0,DynamicBoard1,Discs_Greedy0,Discs_DynamicBoard1
0,1,26,38
0,1,22,42
0,1,20,44
0,1,19,45
0,1,18,46
0,1,10,54
1,0,37,27
0,1,26,38
1,0,33,31
1,0,64,0
1,0,41,23
0,1,21,43
0,1,19,45
0,1,27,37
1,0,43,21
0,1,23,41
0,1,26,38
0,1,15,49
0,1,22,42
1,0,42,22
0,1,19,45
0,1,13,51
0,1,19,45
1,0,43,21
0,1,26,38
0,1,25,39
0,1,22,42
1,0,64,0
0,1,30,34
0,1,22,42
0,1,20,44
1,0,36,28
0,1,26,38
0,1,18,46
0,1,19,45
0,1,22,42
1,0,64,0
1,0,64,0
0,1,21,43
0,1,27,37
0,1,30,34
0,1,26,38
1,0,36,28
0,1,19,45
1,0,64,0
1,0,51,13
0,1,19,45
0,1,18,46
0,1,21,43
0,1,18,46
0,1,16,48
0,1,25,39
