Results for game Gambler against MCTSMaxIter0
Each cycle contains 10 games, where first half of games Gambler is black and second half MCTSMaxIter0 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Gambler,MCTSMaxIter0,Discs_Gambler,Discs_MCTSMaxIter0
0,1,15,49
1,0,40,24
0,1,19,45
0,1,17,47
0,1,22,42
0,1,26,38
0,1,21,43
0,1,26,38
0,1,27,37
0,1,9,55

Cycle: 1
Gambler,MCTSMaxIter0,Discs_Gambler,Discs_MCTSMaxIter0
0,1,12,52
0,1,23,41
0,1,30,34
0,1,12,52
0,1,23,41
0,1,16,48
0,1,25,39
0,1,18,46
0,1,27,37
0,1,23,41

Cycle: 2
Gambler,MCTSMaxIter0,Discs_Gambler,Discs_MCTSMaxIter0
0,1,30,34
0,1,18,46
0,1,14,50
0,1,17,47
0,1,23,41
0,1,30,34
0,1,31,33
0,1,24,40
0,1,28,36
0,1,27,37

Cycle: 3
Gambler,MCTSMaxIter0,Discs_Gambler,Discs_MCTSMaxIter0
0,1,21,43
0,1,22,42
0,1,31,33
0,1,19,45
0,1,17,47
0,1,23,41
0,1,29,35
0,1,27,37
0,1,28,36
0,1,23,41

Cycle: 4
Gambler,MCTSMaxIter0,Discs_Gambler,Discs_MCTSMaxIter0
0,1,12,52
0,1,18,46
0,1,16,48
0,1,27,37
0,1,29,35
0,1,23,41
0,1,22,42
0,1,27,37
0,1,27,37
0,1,20,44

Cycle: 5
Gambler,MCTSMaxIter0,Discs_Gambler,Discs_MCTSMaxIter0
0,1,20,44
0,1,31,33
0,1,24,40
0,1,15,49
0,1,24,40
0,1,21,43
0,1,30,34
0,1,22,42
0,1,28,36
0,1,30,34

Cycle: 6
Gambler,MCTSMaxIter0,Discs_Gambler,Discs_MCTSMaxIter0
0,1,17,47
0,1,25,39
0,1,18,46
0,1,26,38
0,1,20,44
1,0,46,18
0,1,24,40
0,1,31,33
0,1,16,48
0,1,28,36

Cycle: 7
Gambler,MCTSMaxIter0,Discs_Gambler,Discs_MCTSMaxIter0
0,1,24,40
0,1,25,39
0,1,21,43
0,1,20,44
0,1,23,41
0,1,22,42
0,1,18,46
0,1,21,43
0,1,31,33
0,1,20,44

Cycle: 8
Gambler,MCTSMaxIter0,Discs_Gambler,Discs_MCTSMaxIter0
0,1,18,46
0,1,27,37
0,1,28,36
0,1,14,50
0,1,25,39
0,1,27,37
0,1,27,37
0,1,22,42
0,1,27,37
0,1,26,38

Cycle: 9
Gambler,MCTSMaxIter0,Discs_Gambler,Discs_MCTSMaxIter0
0,1,18,46
0,1,27,37
0,1,25,39
0,1,27,37
0,1,18,46
0,1,27,37
0,1,21,43
0,1,23,41
0,1,15,49
0,1,25,39
