Results of player Edax1 agains different agents

Tournament_repeted start

opponent,win_percentage,std,err,disc_diff,std,err
MCTSMaxIter0,0.9199999999999999,0.08366600265340754,0.0374165738677394,49.70666666666666,4.161356616403945,1.8610152545795475
MCTSMaxIter1,0.9400000000000001,0.1341640786499874,0.06,47.394285714285715,4.571357142299099,2.044373063921993
MCTSMaxIter2,0.9,0.14142135623730953,0.0632455532033676,46.05428571428571,4.699591819010043,2.101721354761669
MCTSMaxIter3,0.9,0.09999999999999998,0.04472135954999578,40.74444444444445,7.516713886687518,3.3615766436099883
MCTSRemMaxIter0,0.9800000000000001,0.04216370213557838,0.013333333333333329,47.77555555555555,3.14997681094084,0.9961101299286652
MCTSRemMaxIter1,0.9800000000000001,0.04216370213557838,0.013333333333333329,44.56222222222222,4.152009446244189,1.3129806716666081
MCTSRemMaxIter2,0.9100000000000001,0.07378647873726217,0.023333333333333327,44.988888888888894,3.7412504236565467,1.183087263582458
MCTSRemMaxIter3,0.9000000000000001,0.09428090415820631,0.029814239699997188,43.99833333333333,5.564170511785648,1.7595452106787413

End of Tournament_repeted

