Results for game Edax1 against Greedy
Each cycle contains 10 games, where first half of games Edax1 is black and second half Greedy is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax1,Greedy,Discs_Edax1,Discs_Greedy
1,0,38,26
1,0,63,1
1,0,64,0
1,0,41,23
0,1,0,64
1,0,62,2
1,0,64,0
1,0,64,0
1,0,54,10
1,0,63,1

Cycle: 1
Edax1,Greedy,Discs_Edax1,Discs_Greedy
0,1,0,64
0,1,0,64
0,1,0,64
1,0,52,12
1,0,58,6
1,0,64,0
1,0,60,4
1,0,48,16
1,0,38,26
0,1,0,64

Cycle: 2
Edax1,Greedy,Discs_Edax1,Discs_Greedy
1,0,60,4
1,0,38,26
0,1,0,64
1,0,45,19
1,0,58,6
0,1,0,64
1,0,64,0
1,0,50,14
0,1,0,64
1,0,54,10

Cycle: 3
Edax1,Greedy,Discs_Edax1,Discs_Greedy
0,1,0,64
1,0,57,7
1,0,58,6
0,1,0,64
1,0,50,14
1,0,48,16
1,0,61,3
1,0,64,0
1,0,64,0
1,0,50,14

Cycle: 4
Edax1,Greedy,Discs_Edax1,Discs_Greedy
0,1,0,64
0,1,0,64
0,1,0,64
1,0,60,4
1,0,54,10
1,0,61,3
1,0,61,3
1,0,35,29
0,1,0,64
1,0,57,7

Cycle: 5
Edax1,Greedy,Discs_Edax1,Discs_Greedy
0,1,0,64
1,0,60,4
1,0,52,12
0,1,0,64
1,0,52,12
0,1,0,64
1,0,59,5
0,1,0,64
1,0,36,28
1,0,44,20

Cycle: 6
Edax1,Greedy,Discs_Edax1,Discs_Greedy
1,0,63,1
1,0,54,10
0,1,0,64
1,0,64,0
1,0,49,15
1,0,47,17
1,0,64,0
1,0,55,9
1,0,55,9
1,0,61,3

Cycle: 7
Edax1,Greedy,Discs_Edax1,Discs_Greedy
0,1,0,64
1,0,58,6
1,0,53,11
0,1,0,64
1,0,54,10
1,0,56,8
1,0,54,10
1,0,48,16
1,0,58,6
1,0,42,22

Cycle: 8
Edax1,Greedy,Discs_Edax1,Discs_Greedy
1,0,52,12
0,1,31,33
1,0,53,11
0,1,0,64
0,1,0,64
0,1,0,64
1,0,57,7
1,0,59,5
1,0,64,0
1,0,64,0

Cycle: 9
Edax1,Greedy,Discs_Edax1,Discs_Greedy
0,1,0,64
1,0,64,0
0,1,0,64
0,1,0,64
1,0,52,12
1,0,64,0
1,0,59,5
1,0,62,2
1,0,49,15
1,0,55,9
