Results for game Edax31 against AlphaBeta6
Each cycle contains 10 games, where first half of games Edax31 is black and second half AlphaBeta6 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax31,AlphaBeta6,Discs_Edax31,Discs_AlphaBeta6
0,1,25,39
0,1,20,44
0,1,25,39
0,1,13,51
0,1,21,43
1,0,35,29
1,0,41,23
1,0,35,29
0,1,13,51
0,1,0,64

Cycle: 1
Edax31,AlphaBeta6,Discs_Edax31,Discs_AlphaBeta6
1,0,43,21
0,1,0,64
0,1,27,37
0,1,31,33
1,0,37,27
0,1,20,44
1,0,42,22
0,1,22,42
0,1,20,44
1,0,41,23

Cycle: 2
Edax31,AlphaBeta6,Discs_Edax31,Discs_AlphaBeta6
1,0,44,20
1,0,39,25
1,0,38,26
0,1,4,60
0,1,0,64
0,1,27,37
0,1,0,64
0,1,27,37
1,0,40,24
0,1,18,46

Cycle: 3
Edax31,AlphaBeta6,Discs_Edax31,Discs_AlphaBeta6
0,1,25,39
0,1,28,36
0,1,25,39
0,1,0,64
1,0,45,19
1,0,40,24
0,1,28,36
0,1,30,34
0,1,18,46
1,0,34,30

Cycle: 4
Edax31,AlphaBeta6,Discs_Edax31,Discs_AlphaBeta6
0,1,15,49
1,0,42,22
0,1,21,43
0,1,12,52
0,1,20,44
0,1,15,49
0,1,27,37
0,1,27,37
0,1,27,37
1,0,52,12

Cycle: 5
Edax31,AlphaBeta6,Discs_Edax31,Discs_AlphaBeta6
0,1,31,33
0,1,25,39
1,0,48,16
0,1,27,37
0,1,29,35
1,0,37,27
0,1,28,36
0,1,12,52
0,1,16,48
0,1,18,46

Cycle: 6
Edax31,AlphaBeta6,Discs_Edax31,Discs_AlphaBeta6
0,1,20,44
0,0,32,32
0,1,19,45
0,1,18,46
1,0,44,20
1,0,54,10
0,1,23,41
0,1,16,48
1,0,34,30
1,0,56,8

Cycle: 7
Edax31,AlphaBeta6,Discs_Edax31,Discs_AlphaBeta6
0,1,16,48
0,1,31,33
1,0,38,26
0,1,27,37
1,0,39,25
1,0,42,22
1,0,40,24
0,1,11,53
1,0,42,22
0,1,27,37

Cycle: 8
Edax31,AlphaBeta6,Discs_Edax31,Discs_AlphaBeta6
0,1,30,34
0,1,3,61
0,1,19,45
1,0,40,24
0,0,32,32
1,0,47,17
0,1,15,49
1,0,35,29
1,0,42,22
0,1,15,49

Cycle: 9
Edax31,AlphaBeta6,Discs_Edax31,Discs_AlphaBeta6
0,1,25,39
0,1,30,34
0,1,0,64
1,0,43,21
0,1,22,42
1,0,34,30
0,1,16,48
0,1,6,58
1,0,48,16
1,0,52,12
