Results for game Edax22 against AlphaBeta5
Each cycle contains 10 games, where first half of games Edax22 is black and second half AlphaBeta5 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax22,AlphaBeta5,Discs_Edax22,Discs_AlphaBeta5
1,0,46,18
1,0,53,11
0,1,27,37
0,1,0,64
1,0,48,16
0,1,22,42
1,0,40,24
1,0,50,14
0,1,0,64
1,0,50,14

Cycle: 1
Edax22,AlphaBeta5,Discs_Edax22,Discs_AlphaBeta5
1,0,58,6
1,0,35,29
1,0,51,13
0,1,0,64
0,1,13,51
1,0,33,31
1,0,38,26
1,0,36,28
1,0,48,16
1,0,35,29

Cycle: 2
Edax22,AlphaBeta5,Discs_Edax22,Discs_AlphaBeta5
1,0,44,20
1,0,52,12
1,0,40,24
0,1,29,35
0,1,31,33
0,1,1,63
1,0,50,14
1,0,41,23
1,0,33,31
1,0,43,21

Cycle: 3
Edax22,AlphaBeta5,Discs_Edax22,Discs_AlphaBeta5
1,0,61,3
1,0,48,16
0,1,31,33
0,1,8,56
1,0,56,8
1,0,60,4
0,1,18,46
0,0,32,32
1,0,40,24
1,0,48,16

Cycle: 4
Edax22,AlphaBeta5,Discs_Edax22,Discs_AlphaBeta5
1,0,53,11
0,1,0,64
1,0,40,24
0,1,27,37
1,0,54,10
1,0,57,7
1,0,36,28
1,0,50,14
1,0,43,21
1,0,43,21

Cycle: 5
Edax22,AlphaBeta5,Discs_Edax22,Discs_AlphaBeta5
1,0,50,14
0,1,31,33
1,0,42,22
1,0,41,23
0,1,13,51
0,1,4,60
0,1,29,35
1,0,56,8
1,0,51,13
1,0,35,29

Cycle: 6
Edax22,AlphaBeta5,Discs_Edax22,Discs_AlphaBeta5
1,0,53,11
1,0,51,13
1,0,47,17
1,0,33,31
1,0,53,11
1,0,34,30
0,1,16,48
1,0,44,20
1,0,41,23
1,0,40,24

Cycle: 7
Edax22,AlphaBeta5,Discs_Edax22,Discs_AlphaBeta5
1,0,53,11
1,0,50,14
1,0,52,12
1,0,42,22
1,0,52,12
1,0,51,13
1,0,47,17
1,0,44,20
0,1,12,52
1,0,49,15

Cycle: 8
Edax22,AlphaBeta5,Discs_Edax22,Discs_AlphaBeta5
1,0,62,2
1,0,51,13
0,1,21,43
1,0,54,10
1,0,44,20
1,0,41,23
1,0,50,14
0,1,0,64
1,0,40,24
1,0,45,19

Cycle: 9
Edax22,AlphaBeta5,Discs_Edax22,Discs_AlphaBeta5
1,0,44,20
1,0,60,4
0,1,20,44
1,0,52,12
1,0,45,19
0,1,0,64
1,0,53,11
0,1,28,36
1,0,49,15
1,0,51,13
