Results for game Edax21 against AlphaBeta5
Each cycle contains 10 games, where first half of games Edax21 is black and second half AlphaBeta5 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax21,AlphaBeta5,Discs_Edax21,Discs_AlphaBeta5
0,1,0,64
0,0,32,32
1,0,43,21
0,1,27,37
0,1,16,48
0,1,0,64
0,1,31,33
0,1,20,44
1,0,33,31
1,0,33,31

Cycle: 1
Edax21,AlphaBeta5,Discs_Edax21,Discs_AlphaBeta5
1,0,40,24
1,0,33,31
1,0,36,28
1,0,55,9
1,0,49,15
0,1,0,64
1,0,41,23
1,0,47,17
0,1,0,64
0,1,0,64

Cycle: 2
Edax21,AlphaBeta5,Discs_Edax21,Discs_AlphaBeta5
1,0,40,24
1,0,39,25
0,1,25,39
0,1,5,59
1,0,35,29
0,1,19,45
0,1,0,64
1,0,53,11
0,1,0,64
1,0,37,27

Cycle: 3
Edax21,AlphaBeta5,Discs_Edax21,Discs_AlphaBeta5
1,0,46,18
0,1,27,37
0,1,23,41
0,1,14,50
0,1,24,40
1,0,53,11
0,1,0,64
0,1,0,64
0,1,0,64
0,1,0,64

Cycle: 4
Edax21,AlphaBeta5,Discs_Edax21,Discs_AlphaBeta5
1,0,39,25
0,1,31,33
0,1,31,33
0,1,17,47
0,1,0,64
0,1,19,45
0,1,2,62
0,0,32,32
0,1,0,64
1,0,47,17

Cycle: 5
Edax21,AlphaBeta5,Discs_Edax21,Discs_AlphaBeta5
1,0,37,27
0,1,23,41
1,0,41,23
0,1,29,35
0,1,24,40
0,1,0,64
0,1,0,64
0,1,0,64
0,1,0,64
0,1,17,47

Cycle: 6
Edax21,AlphaBeta5,Discs_Edax21,Discs_AlphaBeta5
0,1,10,54
1,0,34,30
1,0,45,19
0,1,29,35
0,1,21,43
0,1,0,64
1,0,34,30
0,1,0,64
0,1,0,64
1,0,46,18

Cycle: 7
Edax21,AlphaBeta5,Discs_Edax21,Discs_AlphaBeta5
0,1,10,54
0,1,27,37
1,0,34,30
1,0,34,30
1,0,40,24
0,1,0,64
1,0,42,22
1,0,35,29
0,1,11,53
0,1,0,64

Cycle: 8
Edax21,AlphaBeta5,Discs_Edax21,Discs_AlphaBeta5
0,1,14,50
1,0,33,31
0,1,0,64
1,0,37,27
1,0,43,21
1,0,43,21
0,1,0,64
0,1,0,64
0,1,0,64
0,1,0,64

Cycle: 9
Edax21,AlphaBeta5,Discs_Edax21,Discs_AlphaBeta5
1,0,52,12
1,0,58,6
1,0,35,29
1,0,44,20
0,1,0,64
1,0,42,22
0,1,0,64
0,1,0,64
0,1,0,64
0,1,0,64
