Results for game Edax34 against AlphaBeta6
Each cycle contains 10 games, where first half of games Edax34 is black and second half AlphaBeta6 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax34,AlphaBeta6,Discs_Edax34,Discs_AlphaBeta6
1,0,51,13
1,0,51,13
1,0,38,26
1,0,53,11
1,0,50,14
1,0,34,30
1,0,33,31
1,0,52,12
1,0,52,12
1,0,44,20

Cycle: 1
Edax34,AlphaBeta6,Discs_Edax34,Discs_AlphaBeta6
1,0,42,22
1,0,49,15
1,0,57,7
0,1,13,51
1,0,56,8
1,0,49,15
1,0,46,18
1,0,57,7
1,0,55,9
1,0,55,9

Cycle: 2
Edax34,AlphaBeta6,Discs_Edax34,Discs_AlphaBeta6
1,0,50,14
1,0,36,28
1,0,45,19
0,1,26,38
1,0,54,10
1,0,50,14
0,1,15,49
1,0,55,9
1,0,53,11
1,0,36,28

Cycle: 3
Edax34,AlphaBeta6,Discs_Edax34,Discs_AlphaBeta6
0,1,0,64
1,0,39,25
1,0,49,15
1,0,39,25
1,0,54,10
0,1,31,33
1,0,53,11
1,0,46,18
1,0,43,21
1,0,42,22

Cycle: 4
Edax34,AlphaBeta6,Discs_Edax34,Discs_AlphaBeta6
1,0,34,30
1,0,45,19
1,0,49,15
1,0,43,21
1,0,47,17
1,0,53,11
1,0,57,7
1,0,57,7
1,0,47,17
1,0,40,24

Cycle: 5
Edax34,AlphaBeta6,Discs_Edax34,Discs_AlphaBeta6
1,0,41,23
1,0,47,17
0,1,25,39
1,0,41,23
1,0,42,22
1,0,35,29
1,0,43,21
1,0,39,25
1,0,49,15
1,0,56,8

Cycle: 6
Edax34,AlphaBeta6,Discs_Edax34,Discs_AlphaBeta6
1,0,34,30
1,0,39,25
1,0,44,20
1,0,36,28
1,0,50,14
1,0,47,17
1,0,40,24
1,0,41,23
1,0,45,19
0,1,28,36

Cycle: 7
Edax34,AlphaBeta6,Discs_Edax34,Discs_AlphaBeta6
1,0,53,11
1,0,47,17
1,0,59,5
1,0,48,16
0,1,30,34
1,0,54,10
1,0,53,11
1,0,62,2
1,0,57,7
1,0,56,8

Cycle: 8
Edax34,AlphaBeta6,Discs_Edax34,Discs_AlphaBeta6
1,0,38,26
1,0,55,9
1,0,43,21
1,0,49,15
1,0,45,19
1,0,35,29
0,1,26,38
1,0,52,12
1,0,49,15
1,0,51,13

Cycle: 9
Edax34,AlphaBeta6,Discs_Edax34,Discs_AlphaBeta6
1,0,49,15
1,0,63,1
1,0,47,17
1,0,48,16
1,0,52,12
0,1,23,41
1,0,33,31
0,0,32,32
1,0,57,7
1,0,46,18
