Results for game Edax11 against AlphaBeta1
Each cycle contains 100 games, where first half of games Edax11 is black and second half AlphaBeta1 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax11,AlphaBeta1,Discs_Edax11,Discs_AlphaBeta1
0,1,0,64
0,1,0,64
0,1,0,64
0,1,20,44
0,1,0,64
0,1,0,64
1,0,42,22
1,0,52,12
0,1,0,64
0,1,0,64
1,0,48,16
1,0,50,14
1,0,61,3
1,0,53,11
0,1,0,64
1,0,50,14
0,1,0,64
0,1,0,64
0,1,0,64
1,0,50,14
1,0,37,27
0,1,0,64
1,0,64,0
0,1,0,64
1,0,43,21
0,1,0,64
0,1,0,64
0,1,0,64
0,1,0,64
0,1,0,64
1,0,48,16
1,0,58,6
1,0,53,11
0,1,0,64
1,0,39,25
0,1,0,64
0,1,0,64
0,1,0,64
0,1,0,64
1,0,55,9
1,0,43,21
1,0,54,10
1,0,46,18
0,1,0,64
1,0,52,12
0,1,0,64
1,0,45,19
0,1,0,64
0,1,0,64
1,0,56,8
0,1,26,38
1,0,62,2
1,0,48,16
1,0,37,27
1,0,62,2
1,0,64,0
1,0,61,3
1,0,53,11
1,0,64,0
1,0,64,0
0,1,0,64
1,0,53,11
1,0,45,19
1,0,64,0
1,0,50,14
1,0,64,0
0,1,1,63
1,0,37,27
1,0,46,18
1,0,64,0
1,0,49,15
1,0,59,5
1,0,64,0
1,0,42,22
1,0,64,0
1,0,64,0
1,0,51,13
1,0,59,5
1,0,64,0
1,0,64,0
1,0,62,2
0,1,29,35
1,0,64,0
1,0,45,19
1,0,64,0
1,0,64,0
1,0,64,0
1,0,58,6
1,0,47,17
1,0,46,18
1,0,37,27
1,0,40,24
1,0,53,11
1,0,49,15
0,1,0,64
1,0,63,1
1,0,34,30
1,0,64,0
1,0,64,0
0,0,32,32

Cycle: 1
Edax11,AlphaBeta1,Discs_Edax11,Discs_AlphaBeta1
1,0,35,29
0,1,0,64
1,0,58,6
0,1,28,36
0,1,0,64
1,0,46,18
0,1,0,64
0,1,0,64
0,1,0,64
0,1,0,64
1,0,49,15
1,0,37,27
1,0,49,15
1,0,62,2
1,0,64,0
0,1,27,37
1,0,53,11
0,1,18,46
1,0,43,21
1,0,56,8
0,1,0,64
1,0,34,30
0,1,0,64
0,1,0,64
