Results for game Edax32 against AlphaBeta6
Each cycle contains 10 games, where first half of games Edax32 is black and second half AlphaBeta6 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax32,AlphaBeta6,Discs_Edax32,Discs_AlphaBeta6
0,1,31,33
1,0,46,18
1,0,39,25
1,0,51,13
1,0,39,25
1,0,46,18
0,1,30,34
1,0,50,14
1,0,50,14
0,1,22,42

Cycle: 1
Edax32,AlphaBeta6,Discs_Edax32,Discs_AlphaBeta6
0,1,31,33
1,0,56,8
1,0,45,19
0,1,31,33
1,0,48,16
1,0,50,14
0,1,20,44
0,1,15,49
0,1,0,64
1,0,50,14

Cycle: 2
Edax32,AlphaBeta6,Discs_Edax32,Discs_AlphaBeta6
1,0,46,18
0,1,22,42
1,0,48,16
0,1,30,34
0,1,29,35
1,0,46,18
1,0,41,23
1,0,51,13
0,1,21,43
1,0,54,10

Cycle: 3
Edax32,AlphaBeta6,Discs_Edax32,Discs_AlphaBeta6
1,0,52,12
1,0,42,22
1,0,38,26
1,0,41,23
0,1,30,34
1,0,42,22
1,0,46,18
1,0,55,9
1,0,45,19
1,0,53,11

Cycle: 4
Edax32,AlphaBeta6,Discs_Edax32,Discs_AlphaBeta6
0,1,5,59
1,0,60,4
1,0,51,13
1,0,33,31
0,1,3,61
0,1,24,40
1,0,45,19
1,0,44,20
1,0,50,14
1,0,64,0

Cycle: 5
Edax32,AlphaBeta6,Discs_Edax32,Discs_AlphaBeta6
1,0,36,28
1,0,39,25
1,0,55,9
1,0,34,30
1,0,34,30
0,1,0,64
0,1,17,47
0,1,31,33
0,1,15,49
1,0,52,12

Cycle: 6
Edax32,AlphaBeta6,Discs_Edax32,Discs_AlphaBeta6
1,0,51,13
0,1,11,53
1,0,44,20
1,0,36,28
0,1,31,33
1,0,41,23
1,0,45,19
1,0,40,24
1,0,48,16
0,1,3,61

Cycle: 7
Edax32,AlphaBeta6,Discs_Edax32,Discs_AlphaBeta6
1,0,33,31
1,0,39,25
1,0,50,14
1,0,37,27
1,0,41,23
1,0,48,16
1,0,56,8
1,0,55,9
1,0,43,21
0,1,29,35

Cycle: 8
Edax32,AlphaBeta6,Discs_Edax32,Discs_AlphaBeta6
1,0,39,25
1,0,43,21
1,0,36,28
0,1,14,50
1,0,41,23
1,0,36,28
1,0,44,20
1,0,43,21
1,0,47,17
0,1,0,64

Cycle: 9
Edax32,AlphaBeta6,Discs_Edax32,Discs_AlphaBeta6
1,0,43,21
0,1,17,47
1,0,47,17
1,0,51,13
1,0,36,28
1,0,47,17
1,0,33,31
1,0,38,26
1,0,44,20
1,0,61,3
