Results for game Edax23 against AlphaBeta5
Each cycle contains 10 games, where first half of games Edax23 is black and second half AlphaBeta5 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax23,AlphaBeta5,Discs_Edax23,Discs_AlphaBeta5
1,0,51,13
1,0,47,17
0,1,24,40
1,0,56,8
1,0,40,24
1,0,59,5
0,1,28,36
1,0,48,16
1,0,36,28
1,0,50,14

Cycle: 1
Edax23,AlphaBeta5,Discs_Edax23,Discs_AlphaBeta5
1,0,53,11
1,0,43,21
1,0,64,0
1,0,50,14
1,0,55,9
1,0,53,11
1,0,58,6
1,0,56,8
1,0,52,12
1,0,46,18

Cycle: 2
Edax23,AlphaBeta5,Discs_Edax23,Discs_AlphaBeta5
1,0,44,20
0,1,29,35
1,0,49,15
1,0,47,17
1,0,46,18
1,0,47,17
1,0,54,10
0,1,31,33
1,0,49,15
1,0,43,21

Cycle: 3
Edax23,AlphaBeta5,Discs_Edax23,Discs_AlphaBeta5
1,0,46,18
1,0,55,9
1,0,46,18
1,0,46,18
1,0,64,0
1,0,43,21
1,0,38,26
1,0,54,10
1,0,48,16
1,0,51,13

Cycle: 4
Edax23,AlphaBeta5,Discs_Edax23,Discs_AlphaBeta5
0,1,30,34
1,0,50,14
1,0,33,31
1,0,46,18
1,0,49,15
1,0,45,19
1,0,36,28
1,0,39,25
1,0,36,28
1,0,56,8

Cycle: 5
Edax23,AlphaBeta5,Discs_Edax23,Discs_AlphaBeta5
1,0,51,13
0,1,0,64
1,0,44,20
1,0,54,10
1,0,59,5
0,1,5,59
0,1,27,37
1,0,52,12
1,0,38,26
1,0,46,18

Cycle: 6
Edax23,AlphaBeta5,Discs_Edax23,Discs_AlphaBeta5
1,0,50,14
1,0,44,20
1,0,51,13
1,0,55,9
1,0,48,16
1,0,61,3
1,0,39,25
1,0,58,6
1,0,57,7
1,0,52,12

Cycle: 7
Edax23,AlphaBeta5,Discs_Edax23,Discs_AlphaBeta5
1,0,36,28
1,0,51,13
1,0,47,17
0,1,28,36
1,0,38,26
1,0,54,10
1,0,49,15
1,0,43,21
1,0,49,15
0,1,28,36

Cycle: 8
Edax23,AlphaBeta5,Discs_Edax23,Discs_AlphaBeta5
1,0,39,25
1,0,49,15
1,0,53,11
1,0,47,17
1,0,45,19
0,1,0,64
1,0,39,25
0,1,29,35
1,0,51,13
0,1,25,39

Cycle: 9
Edax23,AlphaBeta5,Discs_Edax23,Discs_AlphaBeta5
0,1,6,58
1,0,43,21
1,0,55,9
1,0,43,21
1,0,43,21
0,1,29,35
1,0,34,30
0,0,32,32
1,0,51,13
1,0,43,21
